,price
475,0.10484848484848483
424,0.13939393939393938
352,0.17575757575757575
447,0.12121212121212119
390,0.15151515151515152
490,0.09393939393939393
517,0.06060606060606058
454,0.12060606060606058
422,0.13939393939393938
403,0.15151515151515152
131,0.35151515151515156
500,0.07878787878787877
344,0.1818181818181818
421,0.13939393939393938
8,0.703030303030303
269,0.22727272727272727
368,0.16666666666666666
482,0.103030303030303
516,0.06060606060606058
508,0.07272727272727272
107,0.3787878787878788
204,0.2727272727272727
416,0.14242424242424243
427,0.13696969696969694
531,0.04181818181818181
504,0.07818181818181816
340,0.1818181818181818
243,0.2424242424242424
329,0.19393939393939394
87,0.40909090909090906
309,0.20606060606060603
195,0.2787878787878788
61,0.4606060606060606
38,0.5378787878787878
235,0.24848484848484845
257,0.23636363636363636
506,0.07393939393939392
62,0.4606060606060606
519,0.06060606060606058
484,0.09696969696969696
419,0.13939393939393938
342,0.1818181818181818
198,0.27575757575757576
104,0.3848484848484849
93,0.3939393939393939
179,0.29999999999999993
399,0.15151515151515152
110,0.37575757575757573
364,0.1690909090909091
306,0.20909090909090908
448,0.12121212121212119
33,0.5575757575757576
444,0.12727272727272723
497,0.07878787878787877
167,0.30606060606060603
209,0.2727272727272727
45,0.503030303030303
25,0.5878787878787879
28,0.5757575757575758
535,0.030303030303030304
238,0.24787878787878784
0,0.9999999999999999
308,0.20909090909090908
311,0.20545454545454542
385,0.15757575757575756
98,0.3933333333333333
487,0.09696969696969696
18,0.6181818181818182
415,0.14242424242424243
367,0.16666666666666666
89,0.406060606060606
21,0.6
128,0.35696969696969694
449,0.12121212121212119
40,0.5303030303030303
163,0.3181818181818181
58,0.4727272727272728
499,0.07878787878787877
285,0.21515151515151512
376,0.1636363636363636
337,0.18787878787878784
451,0.12121212121212119
237,0.24848484848484845
396,0.15151515151515152
256,0.23636363636363636
493,0.09090909090909088
284,0.21818181818181817
66,0.4484848484848485
411,0.14545454545454542
109,0.37575757575757573
317,0.19999999999999998
53,0.48484848484848486
295,0.21212121212121213
518,0.06060606060606058
83,0.4181818181818182
157,0.3242424242424242
405,0.14848484848484847
533,0.030303030303030304
200,0.2727272727272727
122,0.36363636363636365
112,0.3751515151515151
530,0.04242424242424242
113,0.3751515151515151
354,0.17575757575757575
328,0.19393939393939394
108,0.3772727272727273
149,0.33333333333333326
227,0.2545454545454545
392,0.15151515151515152
313,0.20303030303030303
440,0.12848484848484845
324,0.1954545454545454
351,0.17575757575757575
160,0.32121212121212117
539,0.009090909090909066
537,0.012121212121212116
443,0.12727272727272723
36,0.5448484848484848
240,0.24545454545454545
379,0.163030303030303
479,0.103030303030303
171,0.303030303030303
250,0.23939393939393935
103,0.3848484848484849
319,0.19999999999999998
174,0.303030303030303
205,0.2727272727272727
279,0.21818181818181817
358,0.1727272727272727
241,0.2424242424242424
458,0.11818181818181814
467,0.1090909090909091
120,0.36363636363636365
85,0.4121212121212121
307,0.20909090909090908
435,0.13333333333333333
183,0.29393939393939394
15,0.6363636363636364
5,0.7878787878787878
124,0.36363636363636365
544,0.0
360,0.16969696969696965
39,0.5333333333333333
48,0.4939393939393939
356,0.17515151515151514
353,0.17575757575757575
326,0.19393939393939394
99,0.3909090909090909
505,0.07818181818181816
523,0.054545454545454536
321,0.19696969696969693
73,0.42727272727272725
231,0.2545454545454545
315,0.20303030303030303
498,0.07878787878787877
363,0.16969696969696965
412,0.14545454545454542
515,0.06060606060606058
359,0.16969696969696965
232,0.25151515151515147
373,0.1636363636363636
502,0.07878787878787877
192,0.2848484848484848
492,0.09090909090909088
196,0.2787878787878788
133,0.35151515151515156
1,0.9090909090909091
348,0.17878787878787875
177,0.3024242424242424
473,0.10848484848484849
452,0.12121212121212119
322,0.19696969696969693
297,0.21212121212121213
44,0.503030303030303
336,0.18787878787878784
208,0.2727272727272727
278,0.21878787878787878
225,0.26
507,0.07272727272727272
75,0.4242424242424242
251,0.23939393939393935
414,0.1448484848484848
534,0.030303030303030304
388,0.15151515151515152
50,0.49090909090909085
154,0.32727272727272727
130,0.3563636363636363
302,0.21212121212121213
135,0.3484848484848485
64,0.4545454545454546
357,0.17515151515151514
220,0.26363636363636356
164,0.31515151515151507
134,0.35090909090909095
161,0.32121212121212117
310,0.20606060606060603
408,0.14545454545454542
199,0.2733333333333333
501,0.07878787878787877
125,0.36303030303030304
11,0.6866666666666666
207,0.2727272727272727
377,0.1636363636363636
258,0.23636363636363636
170,0.303030303030303
332,0.18787878787878784
67,0.44545454545454544
382,0.15757575757575756
362,0.16969696969696965
111,0.37575757575757573
287,0.21212121212121213
239,0.24545454545454545
431,0.13333333333333333
96,0.3939393939393939
330,0.19393939393939394
525,0.051515151515151514
12,0.6545454545454545
116,0.36969696969696975
100,0.3878787878787878
51,0.49090909090909085
210,0.2727272727272727
